﻿Name,Frequency,CountryCode
ERTAN,5060,TR
HAYRULLAH,5052,TR
MUHAMMED,5041,TR
MUHLİS,5017,TR
CELİL,5010,TR
BİNALİ,5004,TR
NAZİM,4961,TR
KAHRAMAN,4935,TR
UFUK,4876,TR
LOKMAN,4837,TR
SABİT,4793,TR
BATTAL,4790,TR
AHMET,4788,SY
DENİZ,4787,TR
BEDRİ,4728,TR
DURDU,4673,TR
MİTHAT,4669,TR
ABDULHAMİT,4640,TR
ÖMER FARUK,4622,TR
AHMAD,4617,SY
FERDİ,4576,TR
HASAN ALİ,4560,TR
ABDULVAHAP,4551,TR
OĞUZ,4551,TR
CÜNEYT,4536,TR
TACETTİN,4530,TR
ALİ,4498,DE
RİZA,4483,TR
NUH,4466,TR
TALAT,4457,TR
SERHAT,4410,TR
TAMER,4402,TR
TURHAN,4384,TR
SEZGİN,4374,TR
NEŞET,4277,TR
AHMET,4276,DE
ERDİNÇ,4269,TR
VEHBİ,4257,TR
MOHAMAD,4231,SY
İLKER,4222,TR
GÜRSEL,4200,TR
LÜTFÜ,4197,TR
İMDAT,4128,TR
SEYFİ,4066,TR
FESİH,4053,TR
OKAN,4040,TR
NECAT,4037,TR
MEHMET SELİM,4026,TR
BEDİR,4000,TR
HURŞİT,3998,TR
İMAM,3997,TR
RÜŞTÜ,3996,TR
ETEM,3940,TR
BEHÇET,3939,TR
SAFFET,3924,TR
BASRİ,3921,TR
RAHİM,3914,TR
TAYFUN,3884,TR
EBUBEKİR,3874,TR
NUMAN,3871,TR
ERGİN,3827,TR
SAMET,3824,TR
SEYDİ,3823,TR
EDİP,3805,TR
SALAHATTİN,3748,TR
SEYİTHAN,3748,TR
ABDULMECİT,3737,TR
DURSUN ALİ,3726,TR
BEYTULLAH,3691,TR
PAŞA,3687,TR
BURAK,3640,TR
HÜSEYİN,3637,DE
İSLAM,3608,TR
MEMDUH,3599,TR
BEDRETTİN,3591,TR
OSMAN NURİ,3584,TR
RECAİ,3584,TR
MURTAZA,3582,TR
FETTAH,3581,TR
HALİD,3559,SY
NAİF,3550,TR
HASAN,3544,DE
MAKSUT,3543,TR
DEDE,3513,TR
SERDAL,3507,TR
GÜNGÖR,3504,TR
EYUP,3475,TR
MEDENİ,3469,TR
AYTEKİN,3427,TR
BAYRAM ALİ,3425,TR
SEYİT AHMET,3425,TR
MEHMET,3421,BG
BURHANETTİN,3378,TR
GÜVEN,3371,TR
VAHAP,3363,TR
ALİM,3358,TR
MEHMET HANİFİ,3332,TR
SEFA,3299,TR
CEM,3289,TR
HABİB,3288,TR
VAKKAS,3280,TR
SUPHİ,3261,TR
NEJDET,3259,TR
TUNCER,3246,TR
KÖKSAL,3233,TR
SEYFULLAH,3231,TR
SALMAN,3202,TR
ŞEYHO,3202,TR
AHMET ALİ,3190,TR
SEMİH,3186,TR
VAHDETTİN,3181,TR
ZÜBEYİR,3181,TR
SADİ,3176,TR
MENDERES,3164,TR
YUNİS,3143,TR
KEMALETTİN,3129,TR
MAŞALLAH,3123,TR
AHMET,3102,BG
CEBRAİL,3096,TR
KUTBETTİN,3083,TR
SELMAN,3075,TR
ALİ HAYDAR,3062,TR
GÜRKAN,3046,TR
AZMİ,3043,TR
DİLAVER,3040,TR
TUFAN,3023,TR
MÜCAHİT,3009,TR
ÖMER,2996,SY
GÜLTEKİN,2988,TR
AYKUT,2981,TR
YUSUF,2944,SY
UMUT,2942,TR
ALİ KEMAL,2939,TR
ALPER,2931,TR
İSRAFİL,2924,TR
FERİDUN,2900,TR
FEHİM,2891,TR
ŞENER,2888,TR
ŞİNASİ,2863,TR
MUSTAFA ALİ,2854,TR
HALUK,2849,TR
ZEYNAL,2844,TR
DURALİ,2842,TR
ABDURAHMAN,2830,TR
ATİLA,2822,TR
YUSUF ZİYA,2818,TR
ZÜLKÜF,2770,TR
ÖZER,2751,TR
SEYİT ALİ,2744,TR
TOLGA,2741,TR
HALİL,2690,SY
ABDİL,2686,TR
MİKDAT,2682,TR
RUHİ,2658,TR
MEHMET CAN,2643,TR
İBİŞ,2638,TR
ZİHNİ,2609,TR
OĞUZHAN,2604,TR
RAMİZ,2582,TR
ALİCAN,2576,TR
HALEF,2562,TR
İKRAM,2562,TR
NAFİZ,2559,TR
ABİT,2544,TR
ENDER,2542,TR
CİHAT,2536,TR
HADİ,2531,TR
ABUBEKİR,2525,TR
CUMA,2520,SY
AHMET TURAN,2499,TR
GÜRBÜZ,2497,TR
MUHYETTİN,2494,TR
ŞAMİL,2491,TR
İSMAİL,2488,SY
NESİM,2484,TR
ŞAHABETTİN,2484,TR
ABDULHALİM,2483,TR
HAMDULLAH,2480,TR
MUSTAFA,2476,BG
EMİR,2473,TR
MEHMETALİ,2459,TR
HASAN BASRİ,2441,TR
ALAADDİN,2440,TR
GÖKSEL,2434,TR
ABDULBARİ,2433,TR
NİMET,2423,TR
MEMET ALİ,2421,TR
ARAP,2415,TR
CANER,2402,TR
HASAN,2401,BG
FERMAN,2391,TR
MÜNİR,2389,TR
MUTLU,2383,TR
ZÜLFÜ,2383,TR
RAMADAN,2381,TR
ŞENEL,2371,TR
NUSRETTİN,2367,TR
BAHTİYAR,2366,TR
İSMAİL,2366,DE
KAMURAN,2364,TR
ELVAN,2363,TR
FERZENDE,2354,TR
SELAHADDİN,2342,TR
HÜSEYİN,2334,BG
NUREDDİN,2326,TR
ABDULHAKİM,2324,TR
İBRAHİM,2317,DE
ŞUAYİP,2314,TR
GÜNAY,2297,TR
HAKİM,2294,TR
SALİH,2292,SY
MEHMET AKİF,2262,TR
MEHMET ŞÜKRÜ,2260,TR
ENES,2244,TR
ZAHİR,2244,TR
DEMİR,2237,TR
ASİM,2235,TR
NASUH,2230,TR
KURBAN,2227,TR
ABDULKADİR,2220,SY
GARİP,2213,TR
TAYYAR,2206,TR
ABDULLATİF,2205,TR
FAYSAL,2205,TR
CESİM,2186,TR
DURAK,2155,TR
MEHMET ŞAH,2140,TR
AHMET HAMDİ,2138,TR
ABDURRAHMAN,2133,SY
MEHMET REŞİT,2128,TR
ZEKAİ,2125,TR
ZÜLFÜKAR,2112,TR
MAHMUT,2098,SY
FERHAN,2081,TR
ABDO,2080,TR
CUMHUR,2076,TR
ERSAN,2069,TR
MEHMET TAHİR,2062,TR
ZEKERİYE,2059,TR
EFENDİ,2056,TR
ASKER,2051,TR
BOZAN,2047,TR
MEHMET FATİH,2033,TR
ALİŞAN,2029,TR
OLCAY,2025,TR
VEYİS,2025,TR
ZÜLFİKAR,2025,TR
HAMO,2018,TR
SEYDO,2018,TR
KANBER,2004,TR
ÖKKAŞ,2003,TR
ABDULHADİ,1995,TR
ADNAN,1992,SY
SADRETTİN,1988,TR
MAMO,1985,TR
SERCAN,1971,TR
ALİ RİZA,1967,TR
SEZER,1961,TR
RAMİS,1935,TR
ÇELEBİ,1912,TR
SAADETTİN,1910,TR
YENER,1904,TR
SELAHİTTİN,1903,TR
VURAL,1883,TR
EREN,1879,TR
HASBİ,1870,TR
MAHMOUD,1866,SY
HASİP,1860,TR
ZAKİR,1860,TR
MEMİK,1846,TR
MEHMET ŞAKİR,1843,TR
GANİ,1836,TR
MEHMET YAŞAR,1828,TR
MUHTEREM,1825,TR
CAN,1821,TR
BEHCET,1819,TR
MOHAMMAD,1819,SY
FERUDUN,1810,TR
GÖKMEN,1803,TR
MÜKREMİN,1799,TR
KANİ,1797,TR
FARİS,1776,TR
BEHZAT,1772,TR
KUDRET,1770,TR
HÜSEYİN AVNİ,1769,TR
AĞA,1768,TR
ABDULKERİM,1765,SY
OSMAN,1764,DE
MENDUH,1756,TR
MAZHAR,1754,TR
ABDULSELAM,1739,TR
HAMİ,1733,TR
ALPASLAN,1732,TR
MESTAN,1728,TR
BEDİRHAN,1726,TR
HANEFİ,1719,TR
CİHANGİR,1718,TR
NÜSRET,1712,TR
REMEZAN,1710,TR
KAMER,1707,TR
ZÜHTÜ,1706,TR
ABDULCELİL,1705,TR
ALİ,1705,BG
MÜSLİM,1688,TR
BESİM,1685,TR
OMAR,1683,SY
HASAN TAHSİN,1681,TR
TURSUN,1681,TR
DURDU MEHMET,1677,TR
MUTTALİP,1674,TR
ALATTİN,1666,TR
