Surname,Frequency
ÖZTEKİN,2975
YÖRÜK,2974
KAR,2971
ARAZ,2964
ERTEKİN,2957
ERMİŞ,2948
KARAOĞLAN,2945
TELLİ,2934
KARACAN,2931
KEKLİK,2923
BÜYÜK,2922
KURTOĞLU,2913
TOKGÖZ,2910
ŞİŞMAN,2907
GÜVENÇ,2906
GÜRKAN,2900
GÜRLER,2899
KOYUN,2887
ŞAFAK,2872
CİHAN,2869
KABAK,2869
GÖÇMEN,2865
SUNGUR,2865
KAYAR,2861
BEYAZ,2855
ÖZGEN,2850
PAMUK,2848
BALKAN,2846
MERİÇ,2842
KABA,2832
KASAP,2831
KAYNAR,2830
ERBAY,2827
GÖKKAYA,2823
ALTAŞ,2822
SELVİ,2820
KAN,2812
ÖZKUL,2810
MEŞE,2807
KARAARSLAN,2806
ÇOBANOĞLU,2801
BENLİ,2799
KÜTÜK,2797
BOYRAZ,2796
BERK,2791
ORAK,2791
GÖRGÜLÜ,2787
COŞAR,2785
UÇAK,2781
ÖRS,2775
ATAMAN,2768
GEYİK,2768
DEMİRAL,2750
DERİN,2748
KOŞAR,2739
TAŞDELEN,2736
YANAR,2733
KAHYA,2722
KURTULUŞ,2720
KAZAN,2715
ERDOĞDU,2712
ÇAKAN,2710
ÖNCEL,2707
TOP,2706
NARİN,2702
YERLİKAYA,2699
BAHAR,2681
YURT,2667
PEKTAŞ,2659
BİRİNCİ,2657
TOKMAK,2652
ELÇİ,2649
CÖMERT,2645
AYDİN,2644
GENÇER,2638
MACİT,2637
YÜKSEK,2636
CANBAZ,2629
TOKER,2629
DEMİRAY,2626
DOĞANAY,2623
ÖNCÜ,2623
GÖNÜL,2622
EMİR,2620
BORA,2619
SEZEN,2615
AKKOÇ,2614
KARAAĞAÇ,2601
ÖRNEK,2582
ÇEKİÇ,2579
TÜRKAN,2575
TEK,2572
SANCAR,2566
ALPASLAN,2552
DAŞ,2550
ÇELEN,2550
ÖREN,2549
ÇAPAR,2546
AYAR,2539
AKTAN,2537
ALPTEKİN,2535
AKKAŞ,2533
ÜSTÜNDAĞ,2533
BAŞTÜRK,2528
ERTEM,2517
DİNLER,2507
BAYDAR,2503
MADEN,2502
ODABAŞ,2488
BEKAR,2485
ECE,2461
ÖZAY,2458
SÖĞÜT,2456
BİNİCİ,2450
ÖZLÜ,2447
KARABAŞ,2435
SUCU,2429
BAY,2427
UÇAN,2424
EVREN,2423
AKSAKAL,2413
TUNCEL,2408
GÖL,2407
TUNCA,2405
BAYKARA,2402
UĞUZ,2399
ÇAVUŞOĞLU,2395
TUNÇER,2390
YARAR,2390
AKYÜREK,2388
DÖNER,2384
KAPTAN,2381
MURAT,2379
SOYDAN,2378
TEKER,2372
TOY,2372
YAKAR,2370
BİRCAN,2363
ONUR,2363
ÇAKAL,2362
ÇATAL,2362
ÇİFÇİ,2360
AĞCA,2359
SÜRÜCÜ,2359
BİLGE,2358
BORAN,2353
DEMİRCİOĞLU,2350
AKCA,2345
İLERİ,2344
ONAY,2342
GEZİCİ,2339
TUTAR,2318
SAK,2310
ALPER,2304
AKBAY,2303
AKDAŞ,2299
YETER,2299
KÖMÜRCÜ,2294
AVCİ,2291
BOZKUŞ,2290
TORAMAN,2281
ESMER,2279
KAYAN,2272
DAŞDEMİR,2271
AVCU,2270
ONAT,2270
ÖZHAN,2269
ALPARSLAN,2257
DURDU,2257
ABAY,2256
ŞAKAR,2250
YURTSEVEN,2246
BABACAN,2242
KURŞUN,2239
SANCAK,2227
SAYAN,2227
UYGUR,2222
DAMAR,2215
KARATAY,2214
DEĞER,2213
KONUK,2206
KAYGUSUZ,2205
KUŞCU,2204
KALENDER,2203
GÜRSES,2202
BOZDOĞAN,2196
SÖZEN,2183
CİN,2181
UZ,2175
KOCAOĞLU,2165
